start_date,end_date,mltrace_logging_times,mltrace_metric_computation_times,prometheus_logging_times,prometheus_metric_computation_times,num_points
2020-02-01,2020-02-03,0.003627777099609375,0.0008041858673095703,9.059906005859375e-05,5.719890832901001,4
2020-02-03,2020-02-05,0.0649261474609375,0.0008299350738525391,0.0001010894775390625,4.533322811126709,4
2020-02-05,2020-02-07,0.003341197967529297,0.0005674362182617188,7.343292236328125e-05,4.037726640701294,3
2020-02-07,2020-02-09,0.0054378509521484375,0.0006437301635742188,0.0001125335693359375,3.5187325477600098,4
2020-02-09,2020-02-11,0.009266853332519531,0.0011279582977294922,0.00013494491577148438,3.462442398071289,1
2020-02-11,2020-02-13,0.010090827941894531,0.0012276172637939453,0.00020074844360351562,3.8204421997070312,3
2020-02-13,2020-02-25,0.007635593414306641,0.001257181167602539,0.00016689300537109375,3.489316940307617,1
2020-02-25,2020-02-27,0.0071926116943359375,0.00109100341796875,0.00016021728515625,3.627598762512207,2
2020-02-27,2020-03-02,0.004546165466308594,0.0006678104400634766,8.7738037109375e-05,3.8611583709716797,4
2020-03-02,2020-03-04,0.004988670349121094,0.0006082057952880859,8.392333984375e-05,3.432285785675049,5
2020-03-04,2020-03-06,0.0035376548767089844,0.0005893707275390625,0.000110626220703125,3.6247379779815674,5
2020-03-06,2020-03-08,0.0038690567016601562,0.0007140636444091797,0.00010061264038085938,3.5327470302581787,5
2020-03-08,2020-03-10,0.0032935142517089844,0.0005598068237304688,7.82012939453125e-05,3.355708599090576,4
2020-03-10,2020-03-12,0.0031604766845703125,0.0006270408630371094,6.723403930664062e-05,3.3169193267822266,3
2020-03-12,2020-03-14,0.0033922195434570312,0.0007314682006835938,9.918212890625e-05,3.3593785762786865,5
2020-03-14,2020-03-16,0.006308555603027344,0.0006802082061767578,9.965896606445312e-05,3.7526423931121826,5
2020-03-16,2020-03-18,0.003482818603515625,0.0005428791046142578,8.869171142578125e-05,3.7214179039001465,5
2020-03-18,2020-03-20,0.003337860107421875,0.0005638599395751953,8.249282836914062e-05,3.840070962905884,4
2020-03-20,2020-03-22,0.00307464599609375,0.0006299018859863281,8.392333984375e-05,3.6209850311279297,4
2020-03-22,2020-03-24,0.003268718719482422,0.0007374286651611328,7.581710815429688e-05,3.5942749977111816,4
2020-03-24,2020-03-26,0.00431060791015625,0.0007977485656738281,7.200241088867188e-05,3.7064480781555176,3
2020-03-26,2020-03-28,0.0031576156616210938,0.0006346702575683594,8.487701416015625e-05,3.4056520462036133,5
2020-03-28,2020-03-30,0.002640247344970703,0.0006148815155029297,8.392333984375e-05,3.6542985439300537,4
